zip code;family;% russians;;
44109;10;1,14;;
44128;;0,04;;
44125;;1,1;;
44106;;1,59;;
44104;;0;;
44105;;0,37;;
44120;6;1,52;;
44103;;0,06;;
44129;8;0,93;;
44130;5;1,18;;
44118;2;3,62;;
44111;7;0,59;;
44134;;1,05;;
44113;4;0,73;;
44121;3;4,05;;
44124;1;5,59;;
44144;9;1,35;;
43085;2;1,19;;
43227;;0,16;;
43232;;0,45;;
43231;7;0,47;;
43224;;0,18;;
43202;;1,07;;
43221;4;1,09;;
43228;;0,36;;
43214;;0,66;;
43206;9;0,63;;
43209;8;4,38;;
43203;;0;;
43229;10;0,29;;
43207;;0,11;;
43219;;0;;
43215;;0,93;;
43220;6;0,62;;
43201;;1,14;;
43230;3;0,86;;
43212;;0,66;;
43235;5;0,98;;
43222;;0,12;;
43213;;0,96;;
43240;1;0,95;;
45230;3;0,56;;
45240;;0,18;;
45212;;0,15;;
45219;;0,71;;
45238;;0,08;;
45249;2;2,54;;
45229;;0,25;;
45248;;0,12;;
45241;6;1,3;;
45247;;0,54;;
45231;;0,43;;
45236;8;1,91;;
45232;;0,14;;
45255;4;0,51;;
45242;1;2,09;;
45227;7;0,29;;
45245;;0,25;;
45251;;0,05;;
45202;;1,62;;
45246;5;0,15;;
45217;10;0,43;;
45209;9;1,15;;
46220;9;0,55;;
46224;;0,09;;
46260;2;2,92;;
46239;;0,03;;
46201;;0,06;;
46229;;0,23;;
46218;;0,22;;
46205;;0,13;;
46234;3;0,77;;
46226;;0,3;;
46221;;0,16;;
46208;;0,34;;
46231;;0,14;;
46241;;0,34;;
46217;4;0,11;;
46254;8;0,42;;
46214;;0,2;;
46219;;0,26;;
46202;;0,31;;
46227;;0,06;;
46237;7;0,04;;
46203;;0,06;;
46278;1;0,32;;
46268;5;1,21;;
46240;10;0,69;;
46225;;0,17;;
46250;6;0,74;;
46204;;0,23;;
97222;;1,68;;
97203;8;1,12;;
97213;7;1,7;;
97220;;1,75;;
97206;;1,77;;
97202;4;1,63;;
97230;;1,33;;
97239;6;;;
97229;1;1,07;;
97211;;0,58;;
97267;;0,79;;
97225;3;1,57;;
97266;;2,33;;
97210;10;4,26;;
97223;2;0,92;;
97209;;2,01;;
97224;5;0,8;;
97216;;1,41;;
97201;;1,63;;
97214;9;2,23;;
97232;;1,28;;
97205;;2;;
97204;;3,38;;
